Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition_Predicted_RF,Attrition_Probability_RF
25,0,Travel_Rarely,266,Research & Development,1,3,Medical,4,0,40,3,1,Research Scientist,2,Single,2096,18830,1,0,18,3,4,0,2,3,2,2,2,2,1,0,0.28
44,0,Travel_Rarely,1313,Research & Development,7,3,Medical,2,0,31,3,5,Research Director,4,Divorced,19049,3549,0,1,14,3,4,1,23,4,2,22,7,1,10,0,0.01
43,0,Travel_Rarely,244,Human Resources,2,3,Life Sciences,2,1,97,3,1,Human Resources,4,Single,3539,5033,0,0,13,3,2,0,10,5,3,9,7,1,8,0,0.03
53,0,Travel_Rarely,102,Research & Development,23,4,Life Sciences,4,0,72,3,4,Research Director,4,Single,14275,20206,6,0,18,3,3,0,33,0,3,12,9,3,8,0,0.09
52,0,Travel_Rarely,258,Research & Development,8,4,Other,3,0,54,3,1,Laboratory Technician,1,Married,2950,17363,9,0,13,3,3,0,12,2,1,5,4,0,4,0,0.21
38,0,Travel_Rarely,371,Research & Development,2,3,Life Sciences,4,1,45,3,1,Research Scientist,4,Single,3944,4306,5,1,11,3,3,0,6,3,3,3,2,1,2,0,0.15
47,0,Travel_Frequently,1309,Sales,4,1,Medical,2,1,99,3,2,Sales Representative,3,Single,2976,25751,3,0,19,3,1,0,5,3,3,0,0,0,0,0,0.26
26,0,Travel_Frequently,1096,Research & Development,6,3,Other,3,1,61,4,1,Laboratory Technician,4,Married,2544,7102,0,0,18,3,1,1,8,3,3,7,7,7,7,0,0.12
59,0,Travel_Rarely,142,Research & Development,3,3,Life Sciences,3,1,70,2,1,Research Scientist,4,Married,2177,8456,3,0,17,3,1,1,7,6,3,1,0,0,0,0,0.19
42,0,Travel_Rarely,1332,Research & Development,2,4,Other,1,1,98,2,2,Healthcare Representative,4,Single,6781,17078,3,0,23,4,2,0,14,6,3,1,0,0,0,0,0.13
39,0,Travel_Rarely,141,Human Resources,3,3,Human Resources,3,0,44,4,2,Human Resources,2,Married,6389,18767,9,0,15,3,3,1,12,3,1,8,3,3,6,0,0.11
40,0,Travel_Rarely,329,Research & Development,1,4,Life Sciences,2,1,88,3,1,Laboratory Technician,2,Married,2387,6762,3,0,22,4,3,1,7,3,3,4,2,0,3,0,0.02
43,0,Non-Travel,343,Research & Development,9,3,Life Sciences,1,1,52,3,1,Research Scientist,3,Single,2438,24978,4,0,13,3,3,0,7,2,2,3,2,1,2,0,0.18
45,0,Travel_Rarely,194,Research & Development,9,3,Life Sciences,2,1,60,3,2,Laboratory Technician,2,Divorced,2348,10901,8,0,18,3,3,1,20,2,1,17,9,0,15,0,0.15
31,0,Travel_Rarely,1398,Human Resources,8,2,Medical,4,0,96,4,1,Human Resources,2,Single,2109,24609,9,0,18,3,4,0,8,3,3,3,2,0,2,0,0.17
40,0,Travel_Rarely,302,Research & Development,6,3,Life Sciences,2,0,75,3,4,Manufacturing Director,3,Single,13237,20364,7,0,15,3,3,0,22,3,3,20,6,5,13,0,0.09
58,1,Travel_Rarely,289,Research & Development,2,3,Technical Degree,4,1,51,3,1,Research Scientist,3,Single,2479,26227,4,0,24,4,1,0,7,4,3,1,0,0,0,0,0.17
36,1,Travel_Rarely,1456,Sales,13,5,Marketing,2,1,96,2,2,Sales Executive,1,Divorced,6134,8658,5,1,13,3,2,3,16,3,3,2,2,2,2,0,0.21
32,0,Non-Travel,976,Sales,26,4,Marketing,3,1,100,3,2,Sales Executive,4,Married,4465,12069,0,0,18,3,1,0,4,2,3,3,2,2,2,0,0.1
34,0,Travel_Rarely,470,Research & Development,2,4,Life Sciences,4,1,84,2,2,Manufacturing Director,1,Married,5957,23687,6,0,13,3,2,1,13,3,3,11,9,5,9,0,0.06
34,0,Travel_Rarely,1031,Research & Development,6,4,Life Sciences,3,0,45,2,2,Research Scientist,2,Divorced,4505,15000,6,0,15,3,3,1,12,3,3,1,0,0,0,0,0.18
36,0,Travel_Rarely,506,Research & Development,3,3,Technical Degree,3,1,30,3,2,Research Scientist,2,Single,4485,26285,4,0,12,3,4,0,10,2,3,8,0,7,7,0,0.12
36,0,Non-Travel,301,Sales,15,4,Marketing,4,1,88,1,2,Sales Executive,4,Divorced,5406,10436,1,0,24,4,1,1,15,4,2,15,12,11,11,0,0.08
44,1,Travel_Rarely,1376,Human Resources,1,2,Medical,2,1,91,2,3,Human Resources,1,Married,10482,2326,9,0,14,3,4,1,24,1,3,20,6,3,6,0,0.04
55,0,Travel_Frequently,1091,Research & Development,2,1,Life Sciences,4,1,65,3,3,Manufacturing Director,2,Married,10976,15813,3,0,18,3,2,1,23,4,3,3,2,1,2,0,0.03
50,0,Travel_Frequently,1246,Human Resources,3,3,Medical,1,1,99,3,5,Manager,2,Married,18200,7999,1,0,11,3,3,1,32,2,3,32,5,10,7,0,0.04
37,0,Travel_Rarely,1192,Research & Development,5,2,Medical,4,1,61,3,2,Manufacturing Director,4,Divorced,6347,23177,7,0,16,3,3,2,8,2,2,6,2,0,4,0,0.04
50,0,Travel_Rarely,804,Research & Development,9,3,Life Sciences,1,1,64,3,1,Laboratory Technician,4,Married,2380,20165,4,0,18,3,2,0,8,5,3,1,0,0,0,0,0.24
35,0,Travel_Rarely,755,Research & Development,9,4,Life Sciences,3,1,97,2,2,Healthcare Representative,2,Single,6540,19394,9,0,19,3,3,0,10,5,3,1,1,0,0,0,0.18
28,0,Travel_Rarely,1083,Research & Development,29,1,Life Sciences,3,1,96,1,2,Manufacturing Director,2,Married,6549,3173,1,0,14,3,2,2,8,2,2,8,6,1,7,0,0.04
37,0,Travel_Rarely,397,Research & Development,7,4,Medical,1,1,30,3,3,Research Director,3,Single,13664,25258,4,0,13,3,1,0,16,3,4,5,2,0,2,0,0.1
30,1,Travel_Rarely,740,Sales,1,3,Life Sciences,2,1,64,2,2,Sales Executive,1,Married,9714,5323,1,0,11,3,4,1,10,4,3,10,8,6,7,0,0.08
41,0,Travel_Rarely,933,Research & Development,9,4,Life Sciences,3,1,94,3,1,Laboratory Technician,1,Married,2238,6961,2,0,21,4,4,1,7,2,3,5,0,1,4,0,0.06
33,0,Non-Travel,530,Sales,16,3,Life Sciences,3,0,36,3,2,Sales Executive,4,Divorced,5368,16130,1,1,25,4,3,1,7,2,3,6,5,1,2,0,0.09
28,0,Travel_Rarely,857,Research & Development,10,3,Other,3,0,59,3,2,Research Scientist,3,Single,3660,7909,3,0,13,3,4,0,10,4,4,8,7,1,7,0,0.1
32,0,Travel_Frequently,1318,Sales,10,4,Marketing,4,1,79,3,2,Sales Executive,4,Single,4648,26075,8,0,13,3,3,0,4,2,4,0,0,0,0,0,0.25
32,0,Travel_Rarely,601,Sales,7,5,Marketing,4,1,97,3,2,Sales Executive,4,Married,9204,23343,4,0,12,3,3,1,7,3,2,4,3,0,3,0,0.12
37,0,Travel_Frequently,663,Research & Development,11,3,Other,2,1,47,3,3,Research Director,4,Divorced,12185,10056,1,1,14,3,3,3,10,1,3,10,8,0,7,0,0.09
46,0,Travel_Rarely,168,Sales,4,2,Marketing,4,0,33,2,5,Manager,2,Married,18789,9946,2,0,14,3,3,1,26,2,3,11,4,0,8,0,0.02
34,0,Travel_Rarely,829,Human Resources,3,2,Human Resources,3,1,88,3,1,Human Resources,4,Married,3737,2243,0,0,19,3,3,1,4,1,1,3,2,0,2,0,0.04
40,0,Travel_Rarely,989,Research & Development,4,1,Medical,4,0,46,3,5,Manager,3,Married,19033,6499,1,0,14,3,2,1,21,2,3,20,8,9,9,0,0.02
41,1,Travel_Rarely,1356,Sales,20,2,Marketing,2,0,70,3,1,Sales Representative,2,Single,3140,21728,1,1,22,4,4,0,4,5,2,4,3,0,2,0,0.25
27,0,Travel_Rarely,954,Sales,9,3,Marketing,4,1,44,3,2,Sales Executive,4,Single,4105,5099,1,0,14,3,1,0,7,5,3,7,7,0,7,0,0.11
58,0,Travel_Rarely,1055,Research & Development,1,3,Medical,4,0,76,3,5,Research Director,1,Married,19701,22456,3,1,21,4,3,1,32,3,3,9,8,1,5,0,0.11
48,1,Travel_Frequently,708,Sales,7,2,Medical,4,0,95,3,1,Sales Representative,3,Married,2655,11740,2,1,11,3,3,2,19,3,3,9,7,7,7,0,0.11
33,0,Travel_Frequently,827,Research & Development,1,4,Other,3,0,84,4,2,Healthcare Representative,2,Married,5488,20161,1,1,13,3,1,1,6,2,3,6,5,1,2,0,0.15
31,0,Travel_Rarely,655,Research & Development,7,4,Life Sciences,4,1,48,3,2,Laboratory Technician,4,Divorced,5915,9528,3,0,22,4,4,1,10,3,2,7,7,1,7,0,0.1
34,0,Travel_Rarely,937,Sales,1,3,Marketing,1,1,32,3,3,Sales Executive,4,Single,9888,6770,1,0,21,4,1,0,14,3,2,14,8,2,1,0,0.16
23,1,Travel_Rarely,427,Sales,7,3,Life Sciences,3,1,99,3,1,Sales Representative,4,Divorced,2275,25103,1,1,21,4,2,1,3,2,3,3,2,0,2,0,0.32
36,0,Travel_Rarely,530,Sales,2,4,Life Sciences,3,0,51,3,2,Sales Representative,4,Single,4502,7439,3,0,15,3,3,0,17,2,2,13,7,6,7,0,0.05
35,0,Travel_Rarely,1258,Research & Development,1,4,Life Sciences,4,0,40,4,1,Research Scientist,3,Single,2506,13301,3,0,13,3,3,0,7,0,3,2,2,2,2,0,0.13
33,1,Travel_Rarely,603,Sales,9,4,Marketing,1,0,77,3,2,Sales Executive,1,Single,8224,18385,0,1,17,3,1,0,6,3,3,5,2,0,3,0,0.31
25,0,Travel_Rarely,141,Sales,3,1,Other,3,1,98,3,2,Sales Executive,1,Married,4194,14363,1,1,18,3,4,0,5,3,3,5,3,0,3,0,0.11
59,0,Travel_Rarely,1429,Research & Development,18,4,Medical,4,1,67,3,3,Manufacturing Director,4,Single,10512,20002,6,0,12,3,4,0,25,6,2,9,7,5,4,0,0.08
35,0,Travel_Frequently,200,Research & Development,18,2,Life Sciences,3,1,60,3,3,Manufacturing Director,4,Single,9362,19944,2,0,11,3,3,0,10,2,3,2,2,2,2,0,0.08
31,0,Travel_Frequently,1327,Research & Development,3,4,Medical,2,1,73,3,3,Research Director,3,Divorced,13675,13523,9,0,12,3,1,1,9,3,3,2,2,2,2,0,0.11
40,0,Travel_Rarely,369,Research & Development,8,2,Life Sciences,2,0,92,3,2,Manufacturing Director,1,Married,6516,5041,2,1,16,3,2,1,18,3,3,1,0,0,0,0,0.15
27,0,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,4,0,33,3,1,Laboratory Technician,1,Divorced,2341,19715,1,0,13,3,4,1,1,6,3,1,0,0,0,0,0.48
43,0,Travel_Rarely,574,Research & Development,11,3,Life Sciences,1,1,30,3,3,Healthcare Representative,3,Married,7510,16873,1,0,17,3,2,1,10,1,3,10,9,0,9,0,0.02
40,0,Travel_Frequently,1395,Research & Development,26,3,Medical,2,0,54,3,2,Research Scientist,2,Divorced,5605,8504,1,0,11,3,1,1,20,2,3,20,7,2,13,0,0.03
34,0,Travel_Rarely,1130,Research & Development,3,3,Life Sciences,4,0,66,3,2,Research Scientist,2,Divorced,5433,19332,1,0,12,3,3,1,11,2,3,11,8,7,9,0,0.02
32,0,Travel_Rarely,977,Research & Development,2,3,Medical,4,1,45,3,2,Research Scientist,2,Divorced,5470,25518,0,0,13,3,3,2,10,4,2,9,5,1,6,0,0.01
46,0,Travel_Frequently,1034,Research & Development,18,1,Medical,1,0,86,3,3,Healthcare Representative,3,Married,10527,8984,5,0,11,3,4,0,28,3,2,2,2,1,2,0,0.07
29,0,Travel_Frequently,461,Research & Development,1,3,Life Sciences,4,1,70,4,2,Healthcare Representative,3,Single,6294,23060,8,1,12,3,4,0,10,5,4,3,2,0,2,0,0.16
31,0,Travel_Frequently,715,Sales,2,4,Other,4,1,54,3,2,Sales Executive,1,Single,5332,21602,7,0,13,3,4,0,10,3,3,5,2,0,3,0,0.17
38,0,Non-Travel,1327,Sales,2,2,Life Sciences,4,1,39,2,2,Sales Executive,4,Married,5249,19682,3,0,18,3,4,1,13,0,3,8,7,7,5,0,0.09
21,0,Travel_Rarely,501,Sales,5,1,Medical,3,1,58,3,1,Sales Representative,1,Single,2380,25479,1,1,11,3,4,0,2,6,3,2,2,1,2,0,0.46
35,0,Travel_Frequently,138,Research & Development,2,3,Medical,2,0,37,3,2,Laboratory Technician,2,Single,4425,15986,5,0,11,3,4,0,10,5,3,6,2,1,2,0,0.13
36,1,Travel_Rarely,1218,Sales,9,4,Life Sciences,3,1,82,2,1,Sales Representative,1,Single,3407,6986,7,0,23,4,2,0,10,4,3,5,3,0,3,0,0.16
41,0,Travel_Rarely,334,Sales,2,4,Life Sciences,4,1,88,3,4,Manager,2,Single,16015,15896,1,0,19,3,2,0,22,2,3,22,10,0,4,0,0.04
32,0,Travel_Rarely,120,Research & Development,6,5,Life Sciences,3,1,43,3,1,Research Scientist,3,Single,3038,12430,3,0,20,4,1,0,8,2,3,5,4,1,4,0,0.14
37,0,Travel_Rarely,589,Sales,9,2,Marketing,2,1,46,2,2,Sales Executive,2,Married,4189,8800,1,0,14,3,1,2,5,2,3,5,2,0,3,0,0.09
43,0,Travel_Frequently,775,Sales,15,3,Life Sciences,4,1,47,2,2,Sales Executive,4,Married,6804,23683,3,0,18,3,3,1,7,5,3,2,2,2,2,0,0.1
34,0,Travel_Rarely,704,Sales,28,3,Marketing,4,0,95,2,2,Sales Executive,3,Married,6712,8978,1,0,21,4,4,2,8,2,3,8,7,1,7,0,0.03
